Date,Description,Amount,Balance
01/01/2025,Transfer to Emmanuel Okafor,50000,450000
03/01/2025,MTN Airtime Purchase,3000,447000
05/01/2025,EKEDC Electricity Payment,15000,432000
07/01/2025,Uber Ride Lagos Island,4500,427500
08/01/2025,Chicken Republic Restaurant,7800,419700
10/01/2025,Transfer to Emmanuel Okafor,30000,389700
12/01/2025,DSTV Subscription Renewal,9000,380700
14/01/2025,Jumia Online Shopping,22000,358700
15/01/2025,Transfer to Adaeze Nwosu,45000,313700
17/01/2025,GTBank Loan Repayment,60000,253700
18/01/2025,Dominos Pizza Order,8500,245200
20/01/2025,PiggyVest Savings,20000,225200
22/01/2025,Airtel Data Bundle,5000,220200
24/01/2025,Transfer to Chukwuemeka Ltd,80000,140200
25/01/2025,Konga Electronics Purchase,35000,105200
27/01/2025,Transfer to Emmanuel Okafor,25000,80200
28/01/2025,Cold Stone Creamery,4200,76000
30/01/2025,School Fees Payment UNIZIK,120000,956000
01/02/2025,Transfer to Adaeze Nwosu,40000,916000
03/02/2025,Bolt Ride Onitsha,3200,912800
05/02/2025,MTN Data Bundle,8000,904800
07/02/2025,Shoprite Mall Purchase,18000,886800
09/02/2025,Transfer to Chukwuemeka Ltd,55000,831800
10/02/2025,Pharmacy Drugs Purchase,12000,819800
12/02/2025,Netflix Subscription,5000,814800
14/02/2025,Transfer to Emmanuel Okafor,35000,779800
15/02/2025,KFC Enugu,9500,770300
18/02/2025,IBEDC Electricity,18000,752300
20/02/2025,Cowrywise Investment,25000,727300
22/02/2025,Uber Ride,6000,721300
25/02/2025,Transfer to Adaeze Nwosu,30000,691300
27/02/2025,Jiji.ng Purchase,15000,676300
01/03/2025,Transfer to Chukwuemeka Ltd,70000,606300
03/03/2025,MTN Airtime,2000,604300
05/03/2025,Hospital Bill,45000,559300
07/03/2025,Transfer to Emmanuel Okafor,40000,519300
09/03/2025,Dominos Pizza,7500,511800
11/03/2025,GoTV Subscription,4000,507800
13/03/2025,Petrol Station Fuel,25000,482800
15/03/2025,PiggyVest Savings,30000,452800
17/03/2025,Transfer to Adaeze Nwosu,50000,402800
19/03/2025,Gym Membership,15000,387800
21/03/2025,Airtel Subscription,6000,381800
23/03/2025,Transfer to Chukwuemeka Ltd,60000,321800
25/03/2025,Jumia Fashion,28000,293800
27/03/2025,Restaurant Bukka Hut,5500,288300
29/03/2025,Transfer to Emmanuel Okafor,45000,243300
30/03/2025,School Textbooks,18000,225300
